Test,Mean,Deviation,Count
ScaleVector2D,38.207688331604,0.562936809563591,8388608
ScaleVector3D,41.8622493743896,0.110170644353464,8388608
MultiplyVector2D,21.954437494278,0.0628229558056034,16777216
MultiplyVector3D,38.3673095703125,0.925609845610453,8388608
TranslateVector2D,20.3724145889282,0.528095194700478,16777216
TranslateVector3D,20.6469178199768,0.875963843592296,16777216
SubstractVector2D,22.3942625522614,1.09941520293452,16777216
SubstractVector3D,21.6740953922272,0.167837497304565,16777216
LengthVector2D,18.4954214096069,0.0583573555294316,16777216
LengthVector3D,19.745317697525,0.144789768379049,16777216
Dotproduct2D,17.9655396938324,0.899086423174905,16777216
Dotproduct3D,17.3960185050964,0.142730456968647,16777216
MemTest,51987.9321289062,1149.51864460687,8192
Prime,2003.08303833008,6.38346897149653,131072
Sestoft,19.7977840900421,0.0352136210554699,16777216
