Test,Message,Mean,Deviation,Count
ScaleVector2D,26.8425631523132,0.13743406693018,16777216
ScaleVector3D,67.6725482940674,3.05572657968374,4194304
MultiplyVector2D,28.3082437515259,2.62832347661123,8388608
MultiplyVector3D,55.876669883728,2.73613112575702,8388608
TranslateVector2D,23.8399004936218,0.0777081671740699,16777216
TranslateVector3D,30.6194949150085,0.0844630468419818,8388608
SubstractVector2D,34.0984988212585,0.131382080597496,8388608
SubstractVector3D,34.0504240989685,0.130491517720355,8388608
LengthVector2D,25.9369385242462,0.0903515139986088,16777216
LengthVector3D,31.5487718582153,0.155594687915882,8388608
Dotproduct2D,9.67412054538727,0.0489214202132534,33554432
Dotproduct3D,24.3881070613861,0.108221601374544,16777216
MemTest,696468.671875,17192.8846593416,512
Prime,1443.41667175293,11.6214300179916,262144
Sestoft,37.004759311676,2.43595235683366,8388608
