Test,Message,Mean,Deviation,Count
Scale2D,19.376309,0.344697,16777216
Scale3D,19.742976,0.369963,16777216
Multiply2D,34.545763,0.402356,8388608
Multiply3D,34.072058,0.595117,8388608
Translate2D,20.160066,0.132611,16777216
Translate3D,20.881981,0.033418,16777216
Substract2D,37.236857,1.868705,8388608
Substract3D,39.635711,2.535276,8388608
Length2D,20.237803,1.316932,16777216
Length3D,19.871365,0.245703,16777216
DotProduct2D,36.608317,2.608504,8388608
DotProduct3D,38.101602,1.597202,8388608
Primes100,349.747238,11.278453,1048576
Memory,2.972949,0.031274,134217728
Sestoft,9.355648,0.024763,33554432
